FireID,10mWind.ms,Temp.C,RH.%,EffHFWidth.m,ROS.ms,Quartile
A023,4.84,24,36,58,1.65,Very_Fast
A061,3.35,25,33,37,0.411,Slow
A066,4,25,33,58,1.069,Fast
A071,6.57,25,25,45,1.011,Medium
A074,6.9,25,25,60,1.069,Fast
A082,5.43,26,24,44,1.431,Very_Fast
A091,5.7,26.5,24,60,1.139,Fast
A121,4.25,26.5,51,62,0.981,Medium
A142,11,27.5,23,60,1.8,Very_Fast
A144,6.6,27,23,58,1.711,Very_Fast
A154,9.05,27.5,23,59,1.719,Very_Fast
B244,6.07,29,38,50,0.811,Medium
C013,3.03,32,33,33,0.319,Slow
C014,4.05,31.5,35,46,0.969,Medium
C062,3.65,32,33,41,1.019,Medium
C071,4.72,35.1,26,78,1.6,Very_Fast
E03,7.6,29.3,47,136,1.5,Very_Fast
E04,3.13,30.9,50,100,0.5,Slow
E09,6.5,29.3,47,160,1.369,Very_Fast
E10,4.63,30,55,100,0.769,Slow
E11,6.62,30,47,88,0.781,Medium
E12,4.4,32.1,31,78,1.35,Very_Fast
E14,3.05,29,42,94,0.65,Slow
E15,4.97,29.9,47,165,1.319,Fast
E16,5.7,30.5,47,130,0.919,Medium
E17,5,30.5,47,133,1.361,Very_Fast
E18,4.17,31.5,45,75,1.139,Fast
E22,4.2,29.5,47,75,0.861,Medium
F011,4.48,35,26,100,1.15,Fast
F03,6.15,35,24,168,1.539,Very_Fast
F04,6.65,35,23,145,1.95,Very_Fast
F05,5.07,35.2,13,156,1.539,Very_Fast
F081,6.25,35,23,90,1.95,Very_Fast
F091,5.8,35,23,143,1.65,Very_Fast
F10,4.1,35.2,13,155,2.069,Very_Fast
F11,4.63,34,29,130,1.689,Very_Fast
F12,5.95,38.2,17,138,2.011,Very_Fast
F13,4.6,32,26,130,1.45,Very_Fast
F14,6.2,34.1,20,150,1.919,Very_Fast
F15,4.68,35.2,13,138,1.15,Fast
F17,5.05,38,14,143,1.689,Very_Fast
F18,5,31.5,27,145,1.381,Very_Fast
F221,3.73,34.8,27,95,1.319,Fast
F222,4.8,34.8,27,50,1,Medium
A012,5.73,24,34,75,1.2,Fast
A022,6.66,24,36,60,0.65,Slow
A033,7.65,25,25,53,1.111,Fast
A053,4.07,25,33,36,0.869,Medium
A072,6.07,25,25,60,1.061,Fast
A081,8.77,26,24,49,1.661,Very_Fast
A083,6.55,26.5,24,55,1.161,Fast
A151,7.55,27.5,23,50,1.189,Fast
A152,7.73,23,34,46,0.969,Medium
A153,8.9,23,34,46,1.481,Very_Fast
B242,5.25,30.5,36,45,0.619,Slow
B302,4.4,30.5,36,50,0.661,Slow
C064,5.93,31.5,35,50,1.189,Fast
A031,3.52,24,36,46,0.569,Slow
A032,8.2,25,35,34,1.181,Fast
A034,3.24,24,36,57,0.489,Slow
A041,7.53,25,25,48,0.989,Medium
A052,3.87,25,33,50,0.739,Slow
A073,6.87,26,24,42,0.931,Medium
A084,5.53,26,24,56,1.319,Fast
A092,8.6,26.5,24,52,1.061,Fast
A141,6.93,27,23,60,1.281,Fast
A143,7.25,27.5,23,59,0.9,Medium
B241,5.73,29,38,50,0.889,Medium
B243,4.93,30.5,36,46,0.889,Medium
B303,4.68,30.5,36,47,0.781,Medium
C061,7.23,31.5,35,51,1.289,Fast
B043,9.53,25,30,49,1.319,Fast
B091,4.68,23,26,47,0.811,Medium
B104,5,24.5,24,39,1.25,Fast
B173,3.1,28.5,34,50,0.611,Slow
B184,2.53,29,33,52,0.511,Slow
B214,3,31,33,70,0.681,Slow
B301,6.8,29,38,43,1.231,Fast
C011,4.6,31.5,35,44,1.281,Fast
C021,3.87,32.5,27,51,0.719,Slow
C022,4.23,32.5,26,50,0.889,Medium
C024,4.87,32.5,26,50,1.1,Fast
C031,5.5,33.5,27,39,1.189,Fast
C04,5.26,33.5,14,75,1.831,Very_Fast
C081,5.33,35.1,26,100,0.969,Medium
C09,5.13,35,14,75,0.689,Slow
C10,4.58,34.5,14,100,1.55,Very_Fast
C112,2.85,32,33,50,0.411,Slow
E061,5.64,31,32,50,1.411,Very_Fast
F02,2.03,35.5,24,101,0.569,Slow
F061,4.32,33.2,30,85,0.861,Medium
F16,3.97,34,28.25,100,0.769,Slow
F19,5.87,34,20,175,1.731,Very_Fast
F211,3.88,34.8,27,100,1.111,Fast
F212,2.93,34.8,27,50,0.839,Medium
F231,6.03,34.2,26,100,1.881,Very_Fast
F232,5.82,34.2,26,50,1.15,Fast
B032,7.28,24.5,30,50,0.961,Medium
B033,5.55,24.5,30,50,0.7,Slow
B042,7.6,25,30,45,1.039,Medium
B092,6.56,24,25,41,0.65,Slow
B093,5.25,24,25,50,0.869,Medium
B101,6.7,24,25,47,1.95,Very_Fast
B102,5.8,24.5,24,49,0.839,Medium
B103,4.08,24.5,24,47,0.931,Medium
B202,3.24,30.5,33,50,0.6,Slow
B211,3.38,31,33,70,0.661,Slow
B213,3.35,30,44,41,0.439,Slow
B224,2.8,30,45,54,0.411,Slow
B304,5.8,29,38,34,1.031,Medium
C012,3.53,32,33,47,0.761,Slow
C034,3.9,33,26,42,0.731,Slow
C111,2.9,31.5,35,50,0.511,Slow
B041,7.45,24.5,30,50,1.139,Fast
B044,8.38,24.5,30,50,1.339,Fast
B094,5.68,23,26,46,1.2,Fast
B111,4.95,25,24,50,0.711,Slow
B114,3.98,25.5,24,53,0.631,Slow
B201,4.6,30.5,33,53,0.9,Medium
B212,2.53,30,44,48,0.519,Slow
B221,2.37,30,45,51,0.289,Slow
