,,Average,Average,Average,Average,Average,Average,Average,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Dry Bean,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Page Blocks,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Wall Robot,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Weight Lifting,Wine,Wine,Wine,Wine,Wine,Wine,Wine
Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy,Avg Accuracy,Avg Time,Num Preds Avg,Num Preds Std,Num Rules Avg,Num Rules Std,Std Accuracy
Binomial_Parameter,CON-FOLD (confidence_fit),0.932014955,0.0147553,8.586497977,27.0952381,4.658979868,32,6.874938378,0.898029135,42.86836084,84.66666667,30.89228598,52.66666667,19.73153145,0.012643654,0.799019608,0.104242563,41.33333333,6.658328118,33,3.605551275,0.044927213,0.947530864,5.625473658,23,2.645751311,43.66666667,1.527525232,0.007972214,0.954642314,3.19081378,30.66666667,4.041451884,21.66666667,3.511884584,0.006080665,0.978632479,5.043508768,23.33333333,1.154700538,18.33333333,2.081665999,0.010211068,0.992546584,3.241298358,14,1.732050808,13.33333333,1.154700538,0.005414781,0.953703704,0.031787872,7,1,7,1,0.016037507
Binomial_Parameter,FOLD-RM (fit),0.930762122,0.011150048,5.802491835,53.14285714,7.001386651,75.61904762,12.23791165,0.911984331,30.66186388,301.3333333,58.96043871,155.6666667,29.29732639,0.001848411,0.764705882,0.064374526,39,7,31.33333333,5.131601439,0.014705882,0.971579218,1.759325822,28.33333333,2.081665999,76,8.544003745,0.009770278,0.970471842,1.40900437,97.66666667,16.62327685,57.33333333,4.509249753,0.002298275,0.990842491,3.602074623,39,1,29.66666667,1.527525232,0.005098685,0.998343685,3.078407844,17,0,15,0,0.001897547,0.907407407,0.042391777,7,0,7,0,0.042431256
F1,CON-FOLD (confidence_fit),0.935557283,0.015832277,6.91620661,25.9047619,4.569636132,31.61904762,7.629706359,0.886154976,31.32843781,74,33.77869151,45.66666667,20.64784089,0.017912227,0.852941176,0.102411429,52.66666667,7.637626158,40.33333333,2.309401077,0.014705882,0.936213992,4.088321288,21.66666667,1.527525232,36,4.358898944,0.014953682,0.954642314,4.741595904,32,7,22.66666667,2.516611478,0.007604259,0.971306471,5.092016776,22,1.732050808,18,1,0.003812575,0.984679089,3.027512868,12.33333333,0.577350269,12,0,0.009406059,0.962962963,0.033150196,6.666666667,1.154700538,6.666666667,1.154700538,0.042431256
F1,FOLD-RM (fit),0.939876893,0.023537485,5.980777604,56.47619048,5.991373181,80.14285714,10.97921489,0.911984331,32.0213178,338,52.94336597,181.3333333,24.13158373,0.003623124,0.808823529,0.115260045,46,9.16515139,38,6.244997998,0.091838206,0.957690329,1.637843768,24.33333333,2.516611478,70.66666667,4.163331999,0.006796404,0.968949772,1.447661002,90.66666667,5.033222957,54.33333333,4.163331999,0.005703195,0.989316239,3.714511156,38,5.196152423,29.33333333,2.081665999,0.000528709,0.997929607,2.878925482,16,1,14.33333333,0.577350269,0.000717205,0.944444444,0.049923976,8,1,7.333333333,0.577350269,0.055555556
Gini_Impurity_Covered,CON-FOLD (confidence_fit),0.93022943,0.015941503,7.541841768,25.28571429,3.28702769,31.61904762,5.406897073,0.897049822,38.34733653,77,14.79864859,45.66666667,10.5039675,0.012192951,0.803921569,0.109402736,47.66666667,3.785938897,37,4.358898944,0.044927213,0.93904321,4.502624432,20.33333333,3.214550254,34.33333333,1.154700538,0.006581297,0.961339422,2.149481376,33.66666667,10.26320288,23.66666667,2.309401077,0.004218084,0.962759463,4.590125243,21.66666667,3.785938897,17,2,0.008309315,0.99378882,3.056894541,13,1,11.66666667,1.527525232,0.003286648,0.953703704,0.037027518,8,1,7.666666667,1.154700538,0.032075015
Gini_Impurity_Covered,FOLD-RM (fit),0.947476065,0.006004347,5.227739005,52.95238095,7.707944072,76.0952381,13.81877376,0.909780879,25.80684996,252.6666667,59.93607706,137.3333333,27.64657905,0.000924205,0.833333333,0.086402734,50,6.557438524,39.33333333,8.504900548,0.022463606,0.958719136,1.819157362,28,2,69.33333333,8.504900548,0.011027474,0.96499239,2.399652004,139.3333333,26.08320021,73.66666667,8.144527815,0.00621631,0.993284493,3.582732598,39,1,28.66666667,0.577350269,0.001398833,1,2.859617631,15.66666667,1.154700538,14.33333333,0.577350269,0,0.972222222,0.039760749,8,0,8,0,0
Jaccard,CON-FOLD (confidence_fit),0.929220235,0.017317756,9.357352007,27.28571429,5.975625113,32.66666667,7.122796739,0.892642918,48.06794214,101,14.73091986,57.66666667,11.15048579,0.000924205,0.764705882,0.113379637,40.66666667,10.0166528,33.66666667,8.082903769,0.014705882,0.95473251,5.249214649,22.66666667,6.110100927,45.66666667,8.736894948,0.019402962,0.947336377,3.836687167,21.33333333,12.89702808,16.66666667,9.237604307,0.021943161,0.980769231,4.900624593,22,4,17.66666667,2.516611478,0.009293857,0.992132505,3.29146568,13.66666667,1.527525232,12.33333333,1.527525232,0.006841703,0.972222222,0.04215018,7.333333333,0.577350269,7.333333333,0.577350269,0.048112522
Jaccard,FOLD-RM (fit),0.932408649,0.009477173,5.736745959,58.23809524,7.722192255,83.33333333,15.53019011,0.910392949,29.49862695,320.6666667,68.57356147,176,32.04684072,0.005829786,0.803921569,0.085007906,47,5,39.33333333,2.516611478,0.01698089,0.960519547,1.716611465,27.33333333,0.577350269,73,1.732050808,0.003326265,0.963165906,2.026166598,123.6666667,27.46512941,66.66666667,13.57694124,0.005504761,0.992368742,3.801373641,41,5.567764363,31,3.605551275,0.001906288,0.998343685,2.999633869,16.66666667,1.527525232,14.66666667,0.577350269,0.000717205,0.898148148,0.029801289,7,0,7,0,0.032075015
Laplace,CON-FOLD (confidence_fit),0.92531917,0.017808151,7.646510919,26.76190476,5.500701661,32.66666667,8.190786854,0.896192924,37.37562768,86.33333333,37.89898855,51.33333333,22.27853975,0.011410141,0.745098039,0.106560548,44,5.567764363,34,4.582575695,0.059433116,0.948816872,4.926278194,22.33333333,3.214550254,42,7.549834435,0.009099815,0.955251142,2.784674883,29.33333333,7.767453465,19.33333333,2.516611478,0.000913242,0.978021978,5.093904336,25.66666667,1.154700538,21,0,0.007930636,0.990890269,3.205777248,13.33333333,1.154700538,12,1,0.003795094,0.962962963,0.032753547,7.666666667,0.577350269,7.666666667,0.577350269,0.032075015
