dataset,strategy,fit_method,metric,accuracy,brier_score,time,num_rules,num_preds,trial_count
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9607668698027778,0.7927241325378418,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.8888888888888888,0.9132662354277779,1.0943162441253662,6,6,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9879732280472222,1.2385663986206055,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9511631403694445,1.0863618850708008,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9451484552472222,1.1200571060180664,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9456749780055556,1.1329269409179688,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.966777346988889,1.1115367412567139,7,7,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9914871768833333,1.1182241439819336,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9723272991638889,1.2233192920684814,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9723871195833333,1.1770329475402832,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9728254363027777,1.3245418071746826,7,7,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9921027423166666,1.3898131847381592,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9412224675277777,1.2299466133117676,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9725254924388889,1.2672088146209717,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9275517163722222,1.531818151473999,7,7,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9905915197166667,1.2811815738677979,8,8,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9902671346472223,1.3537402153015137,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9380236841666667,1.3250956535339355,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9434042056222223,1.3158445358276367,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.8611111111111112,0.8873787652638889,1.4284992218017578,9,9,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9792902917694445,1.3709590435028076,7,8,30
Wine,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9743431997138889,1.392146110534668,8,9,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9502547497138889,1.5048494338989258,8,8,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9890073618083334,1.519624948501587,8,8,30
Wine,greedy,FOLD-RM (fit),original,0.9444444444444444,0.96469792145,1.4639074802398682,9,9,30
Wine,greedy,FOLD-RM (fit),original,1.0,0.9850008416583333,1.378373384475708,8,9,30
Wine,greedy,FOLD-RM (fit),original,0.8888888888888888,0.8978620251416667,1.4109060764312744,8,9,30
Wine,greedy,FOLD-RM (fit),original,0.8611111111111112,0.8718659666083333,1.447629690170288,7,7,30
Wine,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9274342244444445,1.4581351280212402,7,8,30
Wine,greedy,FOLD-RM (fit),original,0.8611111111111112,0.8993972980833334,1.427809238433838,9,8,30
Wine,greedy,FOLD-RM (fit),information_gain,0.9722222222222222,0.9672709154166667,0.6339175701141357,7,7,30
Wine,greedy,FOLD-RM (fit),information_gain,0.9444444444444444,0.94081356965,0.6583263874053955,7,7,30
Wine,greedy,FOLD-RM (fit),information_gain,0.8611111111111112,0.8834135644388889,0.6374387741088867,7,7,30
Wine,greedy,FOLD-RM (fit),information_gain,0.9444444444444444,0.9478330339916666,0.6792223453521729,7,7,30
