dataset,strategy,fit_method,metric,accuracy,brier_score,time,num_rules,num_preds,trial_count
Ecoli,greedy,FOLD-RM (fit),original,1.0,0.9902346577333333,0.18033552169799805,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9727857326777778,0.2031419277191162,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.8888888888888888,0.920345641925,0.07356047630310059,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9677471929111111,0.07835555076599121,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9621868692583333,0.49196910858154297,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,1.0,0.9878037050361111,0.637775182723999,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,1.0,0.9836126635361111,0.752979040145874,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9554841737333334,0.8223915100097656,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.8611111111111112,0.9130421857055555,0.7614200115203857,6,6,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9724780335611111,0.850532054901123,6,6,30
Ecoli,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9440338448444444,0.9241716861724854,6,6,30
Ecoli,greedy,FOLD-RM (fit),original,0.8611111111111112,0.8741387935333333,1.068345308303833,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.94923153605,0.9178817272186279,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,1.0,0.989280843375,1.0090365409851074,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9684462060416666,1.0150375366210938,6,6,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9504089151805556,1.0492265224456787,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9640387392,0.9979455471038818,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9330216099499999,1.01674485206604,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9305389057111111,0.9674115180969238,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9486810083527778,0.9877169132232666,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9679663337361111,1.0519795417785645,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9424366369611111,1.0569121837615967,7,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9661503515833334,1.0232880115509033,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.8888888888888888,0.8997075692555555,1.0723857879638672,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9656182263416666,1.0803742408752441,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9679949531138888,1.018326759338379,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,1.0,0.9915449268083333,1.089268684387207,8,8,30
Ecoli,greedy,FOLD-RM (fit),original,0.9166666666666666,0.9183935413611112,1.0985124111175537,8,9,30
Ecoli,greedy,FOLD-RM (fit),original,0.9444444444444444,0.9469912919472222,0.9674115180969238,7,7,30
Ecoli,greedy,FOLD-RM (fit),original,0.9722222222222222,0.9726266926805556,1.1387341022491455,7,7,30
Ecoli,greedy,FOLD-RM (fit),original_guarded,0.9722222222222222,0.96721300185,0.936830997467041,7,7,30
Ecoli,greedy,FOLD-RM (fit),original_guarded,0.8888888888888888,0.9286142757472223,0.9820582866668701,6,6,30
Ecoli,greedy,FOLD-RM (fit),original_guarded,0.9166666666666666,0.9288558102972222,1.0131449699401855,6,6,30
