dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Wine,greedy,FOLD-RM (fit),0.9166666666666666,0.9208613615138889,0.2382979393005371,7,7,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9684603112833333,0.3451650142669678,7,7,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9495490043888889,0.37769484519958496,6,6,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9677949261583333,0.4028487205505371,7,7,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9557750351555556,0.4335520267486572,8,8,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9660901685333333,0.46152353286743164,8,8,30
Wine,greedy,FOLD-RM (fit),0.8888888888888888,0.9163508234916666,0.406402587890625,6,6,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9631579664972223,0.4635295867919922,7,7,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9596923971388889,0.4855806827545166,7,7,30
Wine,greedy,FOLD-RM (fit),0.9166666666666666,0.9221379300416667,0.3473238945007324,6,6,30
Wine,greedy,FOLD-RM (fit),0.9166666666666666,0.9328760050027778,0.4758331775665283,7,7,30
Wine,greedy,FOLD-RM (fit),0.8888888888888888,0.9352145075472222,0.42806148529052734,6,6,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9662780804194444,0.4408857822418213,8,8,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9634836539333334,0.42969465255737305,7,7,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9724710656666666,0.48314785957336426,8,8,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9448641406055556,0.3996391296386719,7,7,30
Wine,greedy,FOLD-RM (fit),1.0,0.989385110625,0.4864044189453125,8,8,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9441247230027778,0.3929586410522461,7,7,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9589896897555555,0.3848996162414551,7,7,30
Wine,greedy,FOLD-RM (fit),0.9722222222222222,0.9718359221611111,0.4419517517089844,7,7,30
Wine,greedy,FOLD-RM (fit),0.9444444444444444,0.9499742882583333,0.3969910144805908,7,7,30
